protein	frac_centro_specific	frac_NT_control	diff	cohens_h	z	n_centro_specific	n_NT_control
IGF2BP3-PARCLIP	0.1399	0.1383	+0.0016	+0.0046	+0.14	266	263
K562-TROVE2-eCLIP	0.5878	0.5868	+0.0011	+0.0021	+0.07	1118	1116
HepG2-TIAL1-eCLIP	0.3743	0.3738	+0.0005	+0.0011	+0.03	712	711
HepG2-GTF2F1-eCLIP	0.4984	0.4989	-0.0005	-0.0011	-0.03	948	949
HepG2-XRCC6-eCLIP	0.3081	0.3097	-0.0016	-0.0034	-0.11	586	589
EIF3D-PARCLIP	0.0168	0.0174	-0.0005	-0.0041	-0.13	32	33
ELAVL3-PARCLIP	0.0531	0.0542	-0.0011	-0.0047	-0.14	101	103
K562-GTF2F1-eCLIP	0.4642	0.4669	-0.0026	-0.0053	-0.16	883	888
EWSR1-PARCLIP	0.0415	0.0431	-0.0016	-0.0078	-0.24	79	82
LIN28B-PARCLIP	0.0862	0.0889	-0.0026	-0.0093	-0.29	164	169
HepG2-HNRNPL-eCLIP	0.2303	0.2345	-0.0042	-0.0100	-0.31	438	446
FUS-PARCLIP	0.2634	0.2687	-0.0053	-0.0119	-0.37	501	511
LIN28A-PARCLIP	0.0168	0.0184	-0.0016	-0.0120	-0.37	32	35
RTCB-PARCLIP	0.0284	0.0305	-0.0021	-0.0124	-0.38	54	58
HepG2-DDX52-eCLIP	0.5305	0.5368	-0.0063	-0.0126	-0.39	1009	1021
CPSF4-PARCLIP	0.0216	0.0237	-0.0021	-0.0142	-0.44	41	45
HepG2-AKAP1-eCLIP	0.4664	0.4737	-0.0074	-0.0147	-0.45	887	901
PAPD5-PARCLIP	0.0174	0.0195	-0.0021	-0.0157	-0.48	33	37
DND1-PARCLIP	0.1998	0.2061	-0.0063	-0.0157	-0.48	380	392
HepG2-UTP18-eCLIP	0.3212	0.3286	-0.0074	-0.0157	-0.48	611	625
HepG2-POLR2G-eCLIP	0.3859	0.3938	-0.0079	-0.0162	-0.50	734	749
USP10-PARCLIP	0.0142	0.0163	-0.0021	-0.0172	-0.53	27	31
HepG2-FUBP3-eCLIP	0.2108	0.2182	-0.0074	-0.0179	-0.55	401	415
HepG2-WDR43-eCLIP	0.4259	0.4348	-0.0089	-0.0181	-0.56	810	827
K562-DHX30-eCLIP	0.3696	0.3785	-0.0089	-0.0185	-0.57	703	720
TAF15-PARCLIP	0.0273	0.0305	-0.0032	-0.0188	-0.58	52	58
HepG2-UPF1-eCLIP	0.2918	0.3007	-0.0089	-0.0196	-0.60	555	572
U2AF2-Hela-iCLIP	0.5310	0.5415	-0.0105	-0.0211	-0.65	1010	1030
K562-UPF1-eCLIP	0.4143	0.4253	-0.0110	-0.0224	-0.69	788	809
K562-PCBP1-eCLIP	0.3717	0.3828	-0.0110	-0.0228	-0.70	707	728
HepG2-TIA1-eCLIP	0.4322	0.4437	-0.0116	-0.0233	-0.72	822	844
EIF3A-PARCLIP	0.0163	0.0195	-0.0032	-0.0238	-0.73	31	37
HepG2-TROVE2-eCLIP	0.5179	0.5305	-0.0126	-0.0253	-0.78	985	1009
K562-FASTKD2-eCLIP	0.4437	0.4564	-0.0126	-0.0254	-0.78	844	868
K562-LSM11-eCLIP	0.5894	0.6020	-0.0126	-0.0257	-0.79	1121	1145
HepG2-PCBP1-eCLIP	0.3438	0.3565	-0.0126	-0.0265	-0.82	654	678
CAPRIN1-PARCLIP	0.1346	0.1441	-0.0095	-0.0273	-0.84	256	274
K562-NONO-eCLIP	0.4574	0.4711	-0.0137	-0.0274	-0.85	870	896
K562-ZC3H11A-eCLIP	0.4427	0.4564	-0.0137	-0.0275	-0.85	842	868
HepG2-RBFOX2-eCLIP	0.2913	0.3039	-0.0126	-0.0276	-0.85	554	578
RBPMS-PARCLIP	0.0210	0.0252	-0.0042	-0.0280	-0.86	40	48
HepG2-SF3B4-eCLIP	0.2776	0.2913	-0.0137	-0.0303	-0.93	528	554
K562-SDAD1-eCLIP	0.2397	0.2529	-0.0131	-0.0305	-0.94	456	481
HepG2-HNRNPC-eCLIP	0.3086	0.3228	-0.0142	-0.0305	-0.94	587	614
ELAVL2-PARCLIP	0.0473	0.0542	-0.0068	-0.0312	-0.96	90	103
HepG2-XRN2-eCLIP	0.4637	0.4800	-0.0163	-0.0327	-1.01	882	913
HepG2-DDX6-eCLIP	0.3039	0.3197	-0.0158	-0.0341	-1.05	578	608
K562-AKAP1-eCLIP	0.3517	0.3691	-0.0174	-0.0361	-1.11	669	702
TRA2B-MDA231-rep3-iCLIP	0.1094	0.1209	-0.0116	-0.0362	-1.12	208	230
K562-UTP18-eCLIP	0.3039	0.3207	-0.0168	-0.0363	-1.12	578	610
TIA1-PARCLIP	0.0505	0.0589	-0.0084	-0.0370	-1.14	96	112
HepG2-HNRNPUL1-eCLIP	0.4501	0.4690	-0.0189	-0.0380	-1.17	856	892
ELAVL4-PARCLIP	0.0379	0.0457	-0.0079	-0.0394	-1.22	72	87
ATXN2-PARCLIP	0.2298	0.2466	-0.0168	-0.0395	-1.22	437	469
K562-DDX21-eCLIP	0.4716	0.4916	-0.0200	-0.0400	-1.23	897	935
K562-ABCF1-eCLIP	0.2886	0.3070	-0.0184	-0.0402	-1.24	549	584
HepG2-TAF15-eCLIP	0.4080	0.4280	-0.0200	-0.0405	-1.25	776	814
K562-LARP4-eCLIP	0.4926	0.5131	-0.0205	-0.0410	-1.26	937	976
K562-SF3B1-eCLIP	0.0768	0.0889	-0.0121	-0.0439	-1.35	146	169
K562-HNRNPUL1-eCLIP	0.4564	0.4811	-0.0247	-0.0495	-1.53	868	915
HepG2-PCBP2-eCLIP	0.2581	0.2802	-0.0221	-0.0498	-1.54	491	533
HepG2-SUPV3L1-eCLIP	0.3123	0.3360	-0.0237	-0.0506	-1.56	594	639
K562-AARS-eCLIP	0.2739	0.2971	-0.0231	-0.0512	-1.58	521	565
K562-UTP3-eCLIP	0.1614	0.1819	-0.0205	-0.0544	-1.68	307	346
HepG2-RBM5-eCLIP	0.4742	0.5016	-0.0273	-0.0547	-1.69	902	954
K562-AATF-eCLIP	0.3113	0.3375	-0.0263	-0.0562	-1.73	592	642
K562-SERBP1-eCLIP	0.1188	0.1377	-0.0189	-0.0566	-1.75	226	262
HepG2-HNRNPM-eCLIP	0.1257	0.1451	-0.0195	-0.0569	-1.75	239	276
K562-HNRNPL-eCLIP	0.4422	0.4706	-0.0284	-0.0570	-1.76	841	895
HepG2-EXOSC5-eCLIP	0.2723	0.2981	-0.0258	-0.0571	-1.76	518	567
K562-DDX51-eCLIP	0.3502	0.3791	-0.0289	-0.0601	-1.85	666	721
K562-MATR3-eCLIP	0.0952	0.1136	-0.0184	-0.0602	-1.86	181	216
FBL-PARCLIP	0.1204	0.1409	-0.0205	-0.0609	-1.88	229	268
K562-EWSR1-eCLIP	0.2229	0.2497	-0.0268	-0.0631	-1.95	424	475
EIF3G-PARCLIP	0.0121	0.0200	-0.0079	-0.0633	-1.94	23	38
