gene	Centro_apex_R1	Centro_apex_R2	Centro_apex_R3	NT_apex_R1	NT_apex_R2	NT_apex_R3	No_apex_R1	No_apex_R2	No_apex_R3
LY6E-DT	5	4	1	2	1	2	0	0	4
LY6G5B	19	15	2	14	8	6	5	0	11
LY6G5C	0	1	0	1	0	0	0	0	0
LY6G6C	1	0	0	0	1	0	0	0	0
LY6H	0	1	0	0	0	0	0	0	0
LY6K	223	84	15	79	32	63	28	0	63
LY6S	1	0	0	0	0	0	0	0	0
LY75-CD302	10	11	1	7	6	10	3	0	9
LY86	3	1	0	2	1	0	0	0	1
LY86-AS1	4	4	1	3	0	3	0	0	3
LY9	1	2	0	2	1	0	0	0	1
LY96	3	1	0	1	1	0	1	0	1
LYAR	127	62	11	32	21	40	14	0	33
LYG1	4	8	0	0	2	0	3	0	3
LYG2	1	0	0	0	0	0	0	0	0
LYL1	1	0	0	0	0	0	0	0	0
LYN	95	48	9	39	18	30	14	0	49
LYNX1	3	0	0	0	1	0	0	0	0
LYNX1-SLURP2	2	0	0	0	0	0	0	0	0
LYPD1	8	8	0	4	1	3	1	0	2
LYPD2	1	0	0	0	0	0	0	0	0
LYPD3	13	9	0	3	0	1	3	0	2
LYPD4	1	0	1	0	0	0	0	0	1
LYPD5	3	2	1	1	1	2	0	0	0
LYPD6	175	101	15	68	44	70	20	0	80
LYPD6B	159	172	28	83	66	91	27	1	99
LYPD8	0	0	0	1	1	0	0	0	1
LYPD9P	0	0	0	1	0	0	0	0	0
LYPLA1	151	105	13	56	35	81	27	1	88
LYPLA2	44	23	7	24	10	12	6	1	19
LYPLA2P1	0	0	0	1	0	2	0	0	0
LYPLAL1	59	38	12	24	8	42	10	1	62
LYPLAL1-AS1	6	4	0	2	0	1	0	0	1
LYPLAL1-DT	14	6	1	3	1	5	4	0	8
LYRM1	56	43	9	20	15	18	13	0	36
LYRM2	45	25	4	24	8	21	7	0	31
LYRM4	489	382	67	205	140	238	79	1	300
LYRM4-AS1	16	12	3	6	3	7	5	0	12
LYRM7	77	58	14	39	20	53	13	0	54
LYSMD1	20	12	1	10	2	5	4	0	11
LYSMD2	22	14	1	10	9	4	4	0	9
LYSMD3	54	32	10	31	9	41	7	0	55
LYSMD4	27	14	2	9	11	4	4	0	11
LYST	92	57	11	43	17	56	23	0	72
